LPSP_X,LPSP_Y,LPSP_Z,LPSP_Yaw,LPSP_VX,LPSP_VY,LPSP_VZ,LPSP_AX,LPSP_AY,LPSP_AZ
-4.66747522354126,5.022537708282471,1.6310181617736816,2.4998412132263184,0.006175890099257231,0.010219675488770008,-0.005699958652257919,0.0,0.0,0.0
-4.666683673858643,5.022706508636475,1.6317075490951538,2.4997456073760986,0.006175890099257231,0.010219675488770008,-0.005699958652257919,0.0,0.0,0.0
-4.665674686431885,5.023167610168457,1.5871474742889404,2.4998064041137695,0.0,0.0,2.413891077041626,0.0,0.0,-1.1767919063568115
-4.664963722229004,5.023471355438232,1.5880165100097656,2.4998064041137695,0.0,0.0,2.2538950443267822,0.0,0.0,-1.1767919063568115
-4.66422176361084,5.023838996887207,1.5915230512619019,2.4998064041137695,0.0,0.0,2.093931198120117,0.0,0.0,-1.1767919063568115
-4.662927627563477,5.024533748626709,1.5872610807418823,2.4998064041137695,0.0,0.0,1.8509951829910278,0.0,0.0,-1.1767919063568115
-4.662158012390137,5.025210380554199,1.587585210800171,2.4998064041137695,0.0,0.0,1.6922032833099365,0.0,0.0,-1.1767919063568115
-4.661136627197266,5.026009559631348,1.5894173383712769,2.4998064041137695,0.0,0.0,1.4534473419189453,0.0,0.0,-1.2724357843399048
-4.660470962524414,5.02652645111084,1.5914112329483032,2.4998064041137695,0.0,0.0,1.2931512594223022,0.0,0.0,-1.468930721282959
-4.659832000732422,5.027003288269043,1.5897482633590698,2.4998064041137695,0.0,0.0,1.1330032348632812,0.0,0.0,-1.665244221687317
-4.659471035003662,5.027206897735596,1.5900013446807861,2.4998064041137695,0.0,0.0,0.9729791879653931,0.0,0.0,-1.861405611038208
-4.659471035003662,5.027206897735596,1.5900013446807861,2.4998064041137695,0.0,0.0,0.9729791879653931,0.0,0.0,-1.861405611038208
-4.659493446350098,5.02719259262085,1.5905040502548218,2.4998064041137695,0.0,0.0,0.7326791286468506,0.0,0.0,-2.1559715270996094
-4.65950870513916,5.0271830558776855,1.5906211137771606,2.4998064041137695,0.0,0.0,0.5712911486625671,0.0,0.0,-2.3538050651550293
-4.659531116485596,5.027169227600098,1.5937761068344116,2.4998064041137695,0.0,0.0,0.3319791555404663,0.0,0.0,-2.6471595764160156
-4.659546375274658,5.027159690856934,1.5963859558105469,2.4998064041137695,0.0,0.0,0.17191916704177856,0.0,0.0,-2.843364953994751
-4.659561634063721,5.027150630950928,1.5983262062072754,2.4998064041137695,0.0,0.0,0.012411169707775116,0.0,0.0,-3.038893699645996
-4.6595845222473145,5.027136325836182,1.6009938716888428,2.4998064041137695,0.0,0.0,0.0,0.0,0.0,-3.336641550064087
-4.659599781036377,5.027127265930176,1.6029542684555054,2.4998064041137695,0.0,0.0,0.0,0.0,0.0,-3.532759189605713
-4.6596150398254395,5.02711820602417,1.6055008172988892,2.4998064041137695,0.0,0.0,0.0,0.0,0.0,-3.728896141052246
-4.659636974334717,5.02710485458374,1.608672857284546,2.4998064041137695,0.0,0.0,0.0,0.0,0.0,-4.022883415222168
-4.659651756286621,5.027095794677734,1.6111035346984863,2.4998064041137695,0.0,0.0,0.0,0.0,0.0,-4.218936920166016
-4.659666061401367,5.0270867347717285,1.6136057376861572,2.4998064041137695,0.0,0.0,0.0,0.0,0.0,-4.41533899307251
-4.659687519073486,5.027073383331299,1.6178137063980103,2.4998064041137695,0.0,0.0,0.0,0.0,0.0,-4.709644317626953
-4.659701824188232,5.027064323425293,1.620992660522461,2.4998064041137695,0.0,0.0,0.0,0.0,0.0,-4.905702590942383
