ATT_qw,ATT_qx,ATT_qy,ATT_qz,ATT_Roll,ATT_Pitch,ATT_Yaw,ATT_RollRate,ATT_PitchRate,ATT_YawRate,ATT_GX,ATT_GY,ATT_GZ
0.32703831791877747,0.023075101897120476,0.01334466878324747,0.9446350932121277,0.04034002870321274,-0.034873731434345245,2.4743072986602783,0.007824544794857502,-0.002195664681494236,0.0010511347791180015,2.458213818057167e-37,4.035739577255473e-43,1.5336527858384532e-38
0.3270391821861267,0.023088805377483368,0.013396059162914753,0.9446336627006531,0.04044622927904129,-0.03486591577529907,2.4743030071258545,0.005086273420602083,0.003812347538769245,-0.0031058117747306824,0.0,0.0,0.00013525187387131155
0.3270343244075775,0.02310299314558506,0.013467037118971348,0.9446340799331665,0.04058956727385521,-0.034846432507038116,2.4743103981018066,0.010187027975916862,0.0011146347969770432,0.0004796806024387479,0.0,1.1608542739794064e-31,-1.6158417384237957e+19
0.3270343244075775,0.02310299314558506,0.013467037118971348,0.9446340799331665,0.04058956727385521,-0.034846432507038116,2.4743103981018066,0.010187027975916862,0.0011146347969770432,0.0004796806024387479,0.0,1.1608542739794064e-31,-1.6158417384237957e+19
0.32704752683639526,0.023120874539017677,0.013530009426176548,0.9446281790733337,0.0407208614051342,-0.034838397055864334,2.4742796421051025,-0.007297930307686329,-0.0013047968968749046,-0.0018781357211992145,-1.0,-1.0,6.521643052967699e-42
0.32704591751098633,0.023125365376472473,0.01359470747411251,0.9446277022361755,0.040846072137355804,-0.034804560244083405,2.474280834197998,0.0007860111072659492,-0.0026093553751707077,0.00022576248738914728,0.0,1.0494147772988072e-09,2.3751861590426415e-05
0.3270396292209625,0.023131346330046654,0.013549444265663624,0.9446303248405457,0.04076419770717621,-0.034845784306526184,2.474295139312744,-0.004730198532342911,-0.003494684584438801,0.0007193690980784595,0.0,0.0,0.0001283377641811967
0.3270289897918701,0.02311447076499462,0.01349909882992506,0.9446352124214172,0.04065752401947975,-0.03484734147787094,2.47432017326355,-0.005654454231262207,-8.244067430496216e-05,0.001300416304729879,0.0,1.0239106808639072e-35,-6.980988928262377e-06
0.32701486349105835,0.023094329982995987,0.01342448964715004,0.9446415901184082,0.04050271585583687,-0.03485877439379692,2.474353551864624,0.0041809999383986,-0.0012341709807515144,-0.00011394883040338755,-1.0,-1.0,6.521643052967699e-42
0.3270048499107361,0.023052547127008438,0.013329909183084965,0.944647490978241,0.040296074002981186,-0.034842219203710556,2.4743802547454834,-0.004372507333755493,-0.0007221037521958351,-0.0007910784333944321,0.0,-0.041316986083984375,-3.4986166035826535e-26
0.32699155807495117,0.02304838038980961,0.013290129601955414,0.9446526765823364,0.04021763429045677,-0.034860968589782715,2.474409580230713,0.0021964386105537415,-0.0007900316268205643,-0.0012497938005253673,0.0,90800390144.0,-5.38291423213578e-17
0.32699692249298096,0.023042049258947372,0.013300041668117046,0.9446508288383484,0.04023241251707077,-0.03484228253364563,2.474398374557495,0.006720420438796282,-0.0034827105700969696,0.00201119645498693,0.0,0.0,0.0001234650844708085
0.32700276374816895,0.023062266409397125,0.013327554799616337,0.9446479678153992,0.04029793292284012,-0.0348622165620327,2.474384069442749,0.004568952135741711,0.0003720419481396675,-0.0004834055434912443,0.0,1.4531743283509316e-32,4.530906289805341e-15
0.32697588205337524,0.023091062903404236,0.01340887974947691,0.9446553587913513,0.040469612926244736,-0.03486449643969536,2.4744367599487305,0.006326355971395969,-0.007023243233561516,0.00046848657075315714,-1.0,-1.0,6.521643052967699e-42
0.32699212431907654,0.023107215762138367,0.013481986708939075,0.9446483850479126,0.04061904549598694,-0.034846432507038116,2.4743993282318115,0.0012172451242804527,0.005649322643876076,-0.0023070338647812605,0.0,2.4002067878667484e-38,3.3643831864670005e-28
0.32698822021484375,0.02315080165863037,0.01354147307574749,0.9446478486061096,0.04076001048088074,-0.034889984875917435,2.474402904510498,0.005039948038756847,-0.007203268818557262,-0.001018250361084938,0.0,0.0,0.00013980752555653453
0.3269975483417511,0.023162828758358955,0.013569539412856102,0.9446438550949097,0.040821317583322525,-0.03489391505718231,2.474381446838379,-0.00610062200576067,0.0011793719604611397,6.041652522981167e-05,0.0,5.256051195949747e-18,-8.378821523160023e+32
0.3269895911216736,0.023144468665122986,0.013540997169911861,0.944647490978241,0.040754999965429306,-0.03487826883792877,2.474400281906128,0.005361281335353851,-0.0003698393702507019,3.4141819924116135e-05,-1.0,-1.0,6.521643052967699e-42
0.32698386907577515,0.023123130202293396,0.01347903348505497,0.9446508884429932,0.04062361270189285,-0.03487879037857056,2.4744157791137695,-0.004394062794744968,-0.0029283324256539345,0.001057723886333406,0.0,58296664850432.0,56705142784.0
0.32697007060050964,0.023082515224814415,0.013420840725302696,0.9446574449539185,0.040486402809619904,-0.03484076261520386,2.4744491577148438,-0.0017116600647568703,0.0029103755950927734,-1.8245424143970013e-05,0.0,-7.335256668739021e-08,2.757671478323398e-13
