ATSP_RollSP,ATSP_PitchSP,ATSP_YawSP,ATSP_ThrustSP,ATSP_qw,ATSP_qx,ATSP_qy,ATSP_qz,ATSP_fwy,ATSP_dmcy,ATSP_af,ATSP_tm,ATSP_eon,ATSP_di
-0.017329510301351547,-0.08767712861299515,2.4742989540100098,0.0,0.32752281427383423,0.038571372628211975,-0.022530557587742805,0.9437867403030396,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.474306344985962,0.0,0.3275192975997925,0.03857145085930824,-0.022530416026711464,0.9437879920005798,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.474307060241699,0.0,0.32751893997192383,0.03857146203517914,-0.02253040112555027,0.9437881112098694,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.474307060241699,0.0,0.32751893997192383,0.03857146203517914,-0.02253040112555027,0.9437881112098694,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.4742980003356934,0.0,0.32752329111099243,0.03857136145234108,-0.022530579939484596,0.9437865614891052,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.4742918014526367,0.0,0.32752618193626404,0.03857128694653511,-0.02253069542348385,0.943785548210144,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.474283218383789,0.0,0.32753023505210876,0.03857119008898735,-0.02253085933625698,0.9437841773033142,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.474301815032959,0.0,0.3275214433670044,0.03857140243053436,-0.022530503571033478,0.9437872171401978,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.4743528366088867,0.0,0.3274973928928375,0.038571976125240326,-0.022529518231749535,0.9437955617904663,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.474374771118164,0.0,0.3274870216846466,0.03857222571969032,-0.02252909541130066,0.9437991976737976,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.4744091033935547,0.0,0.3274708092212677,0.038572609424591064,-0.022528432309627533,0.9438048005104065,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.4743895530700684,0.0,0.3274800479412079,0.038572389632463455,-0.022528810426592827,0.9438015818595886,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.4743845462799072,0.0,0.3274824023246765,0.03857233375310898,-0.022528907284140587,0.9438007473945618,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.4744176864624023,0.0,0.327466756105423,0.03857271000742912,-0.0225282683968544,0.9438062310218811,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.474412202835083,0.0,0.3274693787097931,0.03857264295220375,-0.022528374567627907,0.9438053369522095,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.4744205474853516,0.0,0.3274654448032379,0.03857274353504181,-0.022528214380145073,0.9438066482543945,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.4743828773498535,0.0,0.327483206987381,0.038572318851947784,-0.022528940811753273,0.9438005089759827,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.474400281906128,0.0,0.327474981546402,0.038572508841753006,-0.02252860553562641,0.9438033103942871,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.4744105339050293,0.0,0.32747018337249756,0.03857262432575226,-0.022528408095240593,0.9438050389289856,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.474432945251465,0.0,0.3274596035480499,0.03857288137078285,-0.02252797596156597,0.9438086748123169,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.474432945251465,0.0,0.3274596035480499,0.03857288137078285,-0.02252797596156597,0.9438086748123169,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.4744863510131836,0.0,0.32743439078330994,0.038573481142520905,-0.022526944056153297,0.9438174366950989,0,0,0,0,0,1
-0.015885384753346443,-0.08767712861299515,2.474494695663452,0.0,0.3274024724960327,0.038809992372989655,-0.02184528112411499,0.9438347816467285,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.4745426177978516,0.0,0.3274078071117401,0.038574110716581345,-0.022525859996676445,0.9438266754150391,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.4745473861694336,0.0,0.3274056017398834,0.03857417032122612,-0.022525766864418983,0.9438274502754211,0,0,0,0,0,1
-0.017329510301351547,-0.08767712861299515,2.4746034145355225,0.0,0.3273790776729584,0.03857479616999626,-0.02252468466758728,0.9438366293907166,0,0,0,0,0,1
