BATT_VFilt,BATT_CFilt,BATT_Discharged,BATT_Remaining,BATT_RemainingV,BATT_Warning
25.227624893188477,1.0514131784439087,53.711151123046875,0.99462890625,1.0,0
25.23507308959961,0.7481929659843445,53.856536865234375,0.9946143627166748,1.0,0
25.24014663696289,0.6090635061264038,53.99723815917969,0.9946002960205078,1.0,0
25.242923736572266,0.5979336500167847,54.15867233276367,0.9945841431617737,1.0,0
25.274194717407227,0.6131343245506287,54.32986831665039,0.9945670366287231,1.0,0
25.286237716674805,0.6080723404884338,54.491661071777344,0.9945508241653442,1.0,0
25.274877548217773,0.5810540914535522,54.64869689941406,0.9945351481437683,1.0,0
25.267803192138672,0.5614972710609436,54.80219650268555,0.9945197701454163,1.0,0
25.255258560180664,0.5283270478248596,54.94157028198242,0.9945058226585388,1.0,0
25.25739288330078,0.5352848172187805,55.09370803833008,0.9944906234741211,1.0,0
25.255035400390625,0.5277988910675049,55.23857879638672,0.9944761395454407,1.0,0
25.266359329223633,0.5506119728088379,55.39403533935547,0.9944605827331543,1.0,0
25.28291130065918,0.5923105478286743,55.56945037841797,0.9944430589675903,1.0,0
25.28709602355957,0.5946993231773376,55.733428955078125,0.9944266676902771,1.0,0
25.278789520263672,0.5745792984962463,55.88862609863281,0.9944111108779907,1.0,0
25.262731552124023,0.5443301200866699,56.03624725341797,0.9943963885307312,1.0,0
25.25982093811035,0.5133886337280273,56.172325134277344,0.9943827390670776,1.0,0
25.263212203979492,0.5309147834777832,56.32374572753906,0.9943675994873047,1.0,0
25.279821395874023,0.5723459720611572,56.48924255371094,0.9943510890007019,1.0,0
25.298189163208008,0.628010630607605,56.67323303222656,0.9943326711654663,1.0,0
25.295940399169922,0.6112533211708069,56.839508056640625,0.994316041469574,1.0,0
25.28108024597168,0.5788295865058899,56.99031448364258,0.9943009614944458,1.0,0
25.262224197387695,0.5382948517799377,57.12970733642578,0.9942870140075684,1.0,0
25.2668399810791,0.5525891184806824,57.283958435058594,0.9942715764045715,1.0,0
