LPOS_X,LPOS_Y,LPOS_Z,LPOS_Dist,LPOS_DistR,LPOS_VX,LPOS_VY,LPOS_VZ,LPOS_RLat,LPOS_RLon,LPOS_RAlt,LPOS_PFlg,LPOS_GFlg,LPOS_EPH,LPOS_EPV
0.8079458475112915,3.726686477661133,0.9300760626792908,0.10000000149011612,-0.06194567680358887,-0.0002086327876895666,-0.005787417758256197,0.06194567680358887,23.8489805,90.5056017,5.784846305847168,63,0,0.191526398062706,0.2332233339548111
0.8076826930046082,3.7268288135528564,0.9274584054946899,0.10000000149011612,-0.06211572140455246,-0.0001534496113890782,-0.005653447937220335,0.06211572140455246,23.8489805,90.5056017,5.784846305847168,63,0,0.19575563073158264,0.23229742050170898
0.807468056678772,3.726919174194336,0.925074577331543,0.10000000149011612,-0.0614459328353405,-0.0004802144248969853,-0.00532003678381443,0.0614459328353405,23.8489805,90.5056017,5.784846305847168,63,0,0.1913200169801712,0.23257336020469666
0.8073083162307739,3.7269716262817383,0.9231284856796265,0.10000000149011612,-0.06091704219579697,0.0003648424753919244,-0.005096313077956438,0.06091704219579697,23.8489805,90.5056017,5.784846305847168,63,0,0.19554509222507477,0.23165808618068695
0.8071535229682922,3.7269856929779053,0.9215030670166016,0.10000000149011612,-0.06121506914496422,0.00041000309283845127,-0.00414418987929821,0.06121506914496422,23.8489805,90.5056017,5.784846305847168,63,0,0.19094733893871307,0.23186521232128143
0.8070055246353149,3.72696852684021,0.9203730225563049,0.10000000149011612,-0.060421187430620193,0.0008875608909875154,-0.003612256608903408,0.060421187430620193,23.8489805,90.5056017,5.784846305847168,63,0,0.19445237517356873,0.2321430742740631
0.8068944215774536,3.7269554138183594,0.9197081327438354,0.10000000149011612,-0.060547538101673126,0.0012996878940612078,-0.003341240808367729,0.060547538101673126,23.8489805,90.5056017,5.784846305847168,63,0,0.19803832471370697,0.2324199229478836
0.806893527507782,3.7269136905670166,0.918700098991394,0.10000000149011612,-0.06142231076955795,0.0014933698112145066,-0.003206860274076462,0.06142231076955795,23.8489805,90.5056017,5.784846305847168,63,0,0.1940988153219223,0.23299093544483185
0.8069148063659668,3.726857900619507,0.9173694252967834,0.10000000149011612,-0.06106068938970566,0.0017542429268360138,-0.0034224726259708405,0.06106068938970566,23.8489805,90.5056017,5.784846305847168,63,0,0.19840487837791443,0.23207271099090576
0.8068191409111023,3.727048397064209,0.9160146117210388,0.10000000149011612,-0.06099525839090347,0.0018254831666126847,-0.0032045666594058275,0.06099525839090347,23.8489805,90.5056017,5.784846305847168,63,0,0.19301800429821014,0.2319153994321823
0.8067322969436646,3.727241039276123,0.9145445227622986,0.10000000149011612,-0.06055928394198418,0.00173431565053761,-0.003220326267182827,0.06055928394198418,23.8489805,90.5056017,5.784846305847168,63,0,0.1972876489162445,0.23257307708263397
0.8064957857131958,3.7274296283721924,0.9132103323936462,0.10000000149011612,-0.060744792222976685,0.0018520952435210347,-0.002715395763516426,0.060744792222976685,23.8489805,90.5056017,5.784846305847168,63,0,0.19197435677051544,0.23086072504520416
0.806210994720459,3.7276432514190674,0.9116897583007812,0.10000000149011612,-0.05938659608364105,0.0020006890408694744,-0.0024642781354486942,0.05938659608364105,23.8489805,90.5056017,5.784846305847168,63,0,0.1962134689092636,0.23151333630084991
0.805840015411377,3.7278878688812256,0.9100858569145203,0.10000000149011612,-0.0604236014187336,0.002087612170726061,-0.00191295996773988,0.0604236014187336,23.8489805,90.5056017,5.784846305847168,63,0,0.19160066545009613,0.2317299246788025
0.8054147362709045,3.728166103363037,0.9080685377120972,0.10000000149011612,-0.058215122669935226,0.0017601418076083064,-0.0013378906296566129,0.058215122669935226,23.8489805,90.5056017,5.784846305847168,63,0,0.19583092629909515,0.23238427937030792
0.8049532771110535,3.7284603118896484,0.9059532880783081,0.10000000149011612,-0.058600664138793945,0.0020721640903502703,-0.001269594649784267,0.058600664138793945,23.8489805,90.5056017,5.784846305847168,63,0,0.19126081466674805,0.2325974702835083
0.8044782280921936,3.728757381439209,0.9042670130729675,0.10000000149011612,-0.059204068034887314,0.0022387001663446426,-0.0008858232176862657,0.059204068034887314,23.8489805,90.5056017,5.784846305847168,63,0,0.19562533497810364,0.23175553977489471
0.8040421009063721,3.729036569595337,0.9021733999252319,0.10000000149011612,-0.05881310999393463,0.0015335840871557593,-0.0011259191669523716,0.05881310999393463,23.8489805,90.5056017,5.784846305847168,63,0,0.19038142263889313,0.2316078394651413
0.8034278154373169,3.7294321060180664,0.9001865386962891,0.10000000149011612,-0.05864556133747101,0.001875537447631359,-0.00044260884169489145,0.05864556133747101,23.8489805,90.5056017,5.784846305847168,63,0,0.19457757472991943,0.23071691393852234
0.8029860258102417,3.7297396659851074,0.8985241055488586,0.10000000149011612,-0.058586206287145615,0.0014416349586099386,2.877576116588898e-05,0.058586206287145615,23.8489805,90.5056017,5.784846305847168,63,0,0.19816499948501587,0.2325635552406311
0.8022310137748718,3.730189323425293,0.8976054191589355,0.10000000149011612,-0.05757485330104828,0.0012923605972900987,0.0006811638595536351,0.05757485330104828,23.8489805,90.5056017,5.784846305847168,63,0,0.19351045787334442,0.23121927678585052
0.8015927076339722,3.7306220531463623,0.8978363275527954,0.10416269302368164,-0.05855970084667206,0.0013300154823809862,0.0014008631696924567,0.05855970084667206,23.8489805,90.5056017,5.784846305847168,63,0,0.19779522716999054,0.23187221586704254
0.8008213639259338,3.7307915687561035,0.8990435004234314,0.10666567087173462,-0.05875749886035919,0.001226915279403329,0.0017732837004587054,0.05875749886035919,23.8489805,90.5056017,5.784846305847168,63,0,0.19318103790283203,0.232090562582016
0.8001500964164734,3.7309703826904297,0.9005928039550781,0.10688960552215576,-0.059700388461351395,0.0008056799997575581,0.0017503268318250775,0.059700388461351395,23.8489805,90.5056017,5.784846305847168,63,0,0.19745580852031708,0.2327435165643692
0.7994049191474915,3.73108172416687,0.9022712111473083,0.10714322328567505,-0.06008981913328171,0.0008662575855851173,0.0019775687251240015,0.06008981913328171,23.8489805,90.5056017,5.784846305847168,63,0,0.19282349944114685,0.23295821249485016
0.7987369298934937,3.731191873550415,0.9042286276817322,0.10800474882125854,-0.06052713468670845,0.0008202817407436669,0.0022018211893737316,0.06052713468670845,23.8489805,90.5056017,5.784846305847168,63,0,0.19708648324012756,0.23203828930854797
0.7981269359588623,3.7312374114990234,0.9060091972351074,0.10866332054138184,-0.061507388949394226,0.0006172090070322156,0.0029515905771404505,0.061507388949394226,23.8489805,90.5056017,5.784846305847168,63,0,0.19173815846443176,0.23187360167503357
0.7973867058753967,3.7312660217285156,0.9082403779029846,0.10871940851211548,-0.061750367283821106,5.175187106942758e-05,0.002932115690782666,0.061750367283821106,23.8489805,90.5056017,5.784846305847168,63,0,0.1959754377603531,0.2325245887041092
0.7966932058334351,3.7312610149383545,0.9106095433235168,0.10746222734451294,-0.0625457912683487,-0.0003438854473643005,0.0034744692966341972,0.0625457912683487,23.8489805,90.5056017,5.784846305847168,63,0,0.19138537347316742,0.23272396624088287
0.7960593700408936,3.7312278747558594,0.9129822254180908,0.1079639196395874,-0.06254842132329941,-0.0005713605787605047,0.0035729638766497374,0.06254842132329941,23.8489805,90.5056017,5.784846305847168,63,0,0.19560949504375458,0.23337380588054657
0.795387327671051,3.7311856746673584,0.9157744646072388,0.10748755931854248,-0.06348706781864166,-0.0006763234850950539,0.003809159155935049,0.06348706781864166,23.8489805,90.5056017,5.784846305847168,63,0,0.1911303997039795,0.2320355623960495
0.7947995662689209,3.731153726577759,0.9178718328475952,0.10641181468963623,-0.06403692066669464,-0.0010904669761657715,0.004057593178004026,0.06403692066669464,23.8489805,90.5056017,5.784846305847168,63,0,0.19435594975948334,0.23216736316680908
0.7941405177116394,3.7311084270477295,0.9202632904052734,0.10445153713226318,-0.06420858949422836,-0.0013225055299699306,0.0037212905008345842,0.06420858949422836,23.8489805,90.5056017,5.784846305847168,63,0,0.1898297518491745,0.2323712557554245
