ARSP_RollRateSP,ARSP_PitchRateSP,ARSP_YawRateSP
-0.3456592559814453,-0.31700563430786133,0.001797730103135109
-0.34582844376564026,-0.31699028611183167,0.001802975544705987
-0.34607747197151184,-0.31694337725639343,0.0017866127891466022
-0.34621232748031616,-0.3169308006763458,0.0018248970154672861
-0.3463604152202606,-0.3169039785861969,0.0017945235595107079
-0.3466493785381317,-0.3169971704483032,0.0018365290015935898
-0.3467714786529541,-0.31707900762557983,0.0018115404527634382
-0.34688282012939453,-0.31702494621276855,0.0018040974391624331
-0.3470971882343292,-0.3170889616012573,0.001826746854931116
-0.3470971882343292,-0.3170889616012573,0.001826746854931116
-0.34741443395614624,-0.31710004806518555,0.0018221575301140547
-0.34753599762916565,-0.31706511974334717,0.0018559114541858435
-0.34792354702949524,-0.3171573281288147,0.0018844701116904616
-0.3482946753501892,-0.31719475984573364,0.0018788697198033333
-0.34832191467285156,-0.3171621561050415,0.0018330785678699613
-0.34846171736717224,-0.31724098324775696,0.0018517918651923537
-0.34854602813720703,-0.3173961937427521,0.001860698452219367
-0.3488515615463257,-0.31743207573890686,0.001890472136437893
-0.34889984130859375,-0.31736689805984497,0.0018991496181115508
-0.3487740159034729,-0.3173382878303528,0.0018607196398079395
-0.34876132011413574,-0.31732597947120667,0.0018513076938688755
-0.3485040068626404,-0.31720349192619324,0.0018213787116110325
-0.34850966930389404,-0.3172191083431244,0.0018331180326640606
-0.3484501540660858,-0.3172069191932678,0.001830458641052246
-0.3482881188392639,-0.31715667247772217,0.0018129178788512945
-0.3478868305683136,-0.3171141743659973,0.001802354585379362
-0.3473993241786957,-0.3169741928577423,0.0018138015875592828
-0.3472718894481659,-0.3169481158256531,0.0017825090326368809
-0.34690168499946594,-0.3170485198497772,0.0017809949349611998
-0.34672027826309204,-0.31706756353378296,0.0018101760651916265
-0.3463401198387146,-0.3169756531715393,0.0017665436025708914
-0.34635159373283386,-0.3170764744281769,0.001778770936653018
-0.34592705965042114,-0.31710004806518555,0.0017664723563939333
-0.34569093585014343,-0.31714946031570435,0.0017863367684185505
-0.34551557898521423,-0.31707051396369934,0.001805390464141965
-0.34535109996795654,-0.3171148896217346,0.0017654624534770846
-0.34537792205810547,-0.3170969486236572,0.0017755801090970635
-0.3450585603713989,-0.31704437732696533,0.0017862764652818441
-0.34510135650634766,-0.31703245639801025,0.001811175374314189
-0.3451076149940491,-0.31711262464523315,0.001841778983362019
-0.3365476429462433,-0.31708604097366333,0.0018964443588629365
-0.33636945486068726,-0.3172215223312378,0.0019177892245352268
